Rayon;Libellé produit;Marque;Code Produit;Température;Conditionnement;Unité de commande;Prix;Prix à l'unité de mesure;Prix à la portion;DLC garantie au client
Crèmerie Œufs Fromages;Roquefort aop templiers. 31% m.g.;TEMPLIERS;237631;Frais;Par pain de 1.35 kg. Colis de 2 pains. ;pain; 20,53 EUR; 15,21 EUR / kg; 41,06 EUR / colis;7 jour(s)
Épicerie;Canderel comprimé sucralose;CANDEREL;237730;Ambiant;Portion de 0.704 g. Colis de 250 portions. ;colis;  7,69 EUR; 43,69 EUR / kg;  0,03 EUR / Portion;30 jour(s)
Poissons Coquillages Crustacés;Moules d'Espagne;;237801;Frais;Par pièce de 3 kg. ;pièce; 15,08 EUR;  5,03 EUR / kg;;
Crèmerie Œufs Fromages;Yaourt brassé aux fruits mixés. Fruix;DANONE;237846;Frais;Portion de 125 g. Lot de 8 portions. ;lot;  3,17 EUR;  3,17 EUR / kg;  0,40 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Yaourt aromatisé vanille bio. pot de 125 g. lot de 4;MALO;237860;Frais;Portion de 125 g. Colis de 24 portions. ;colis; 14,96 EUR;  4,99 EUR / kg;  0,62 EUR / Portion;7 jour(s)
Épicerie;Nesquik;NESQUIK;237985;Ambiant;Portion de 13.5 g. Colis de 240 portions. ;colis; 78,63 EUR; 24,27 EUR / kg;  0,33 EUR / Portion;30 jour(s)
Accompagnements Assaisonnement;Vinaigre balsamique de. modène igp;BORGES;238106;Ambiant;Par bidon de 5 litre. Colis de 4 bidons. ;bidon; 26,63 EUR;  5,33 EUR / L;106,50 EUR / colis;30 jour(s)
Poissons Coquillages Crustacés;Tourteau cuit irlandais. pasteurisé sous-vide;;238125;Frais;Par pièce de 500 g. ;pièce;  8,44 EUR; 16,88 EUR / kg;;5 jour(s)
Pâtisserie Biscuiterie Confiserie;pain epice tranché;VONDELMOLEN;239316;Ambiant;Par paquet de 500 g. Colis de 12 paquets. ;paquet;  1,90 EUR;  3,79 EUR / kg; 22,75 EUR / colis;30 jour(s)
Viandes Volailles Gibier;Filet mignon de porc;;239630;Surgele;Par colis de 5 kg. ;colis; 51,60 EUR; 10,32 EUR / kg;;30 jour(s)
Boissons;Boisson au soja nature UHT;SOJASUN;239779;Frais;Brick de 1 litre. Colis de 8 bricks. ;colis; 18,15 EUR;  2,27 EUR / L;  2,27 EUR / brick;7 jour(s)
Pains Viennoiserie Pâtes;Croissant pret à cuire;BANQUET D'OR;239953;Surgele;Portion de 60 g. Colis de 100 portions. ;colis; 43,15 EUR;  7,19 EUR / kg;  0,43 EUR / Portion;30 jour(s)
Viandes Volailles Gibier;Rognon de veau sous graissex1;BEAUVALLET NEGOCE;239995;Frais;Par pièce de 1 kg. ;pièce;  5,97 EUR;  5,97 EUR / kg;;5 jour(s)
Charcuterie Traiteur;Blanc de poulet;MADRANGE;240572;Frais;Portion de 40 g. Sachet de 10 portions. ;sachet;  4,93 EUR; 12,33 EUR / kg;  0,49 EUR / Portion;5 jour(s)
Crèmerie Œufs Fromages;Yaourt fruits rouge light&free. allégé 0% mg;LIGHT & FREE;241928;Frais;Lot de 1 kg. Colis de 3 lots. Lot de 8 portions. ;colis; 15,98 EUR;  5,33 EUR / kg;  5,33 EUR / lot;7 jour(s)
Boissons;Boisson végétale Soja Alpro;ALPRO;241961;Frais;Brick de 1 litre. Colis de 8 bricks. ;colis; 14,74 EUR;  1,84 EUR / L;  1,84 EUR / brick;7 jour(s)
Boissons;Boisson végétale Alpro. noisette;ALPRO;241962;Frais;Bouteille de 1 litre. Colis de 8 bouteilles. ;colis; 26,09 EUR;  3,26 EUR / L;  3,26 EUR / bouteille;7 jour(s)
Boissons;Boisson végétale Alpro. d'amandes grillées;ALPRO;241963;Frais;Par brick de 1 litre. Colis de 8 bricks. ;brick;  2,91 EUR;  2,91 EUR / L; 23,30 EUR / colis;7 jour(s)
Crèmerie Œufs Fromages;Cantal jeune aop 28% m.g.;LA VIE DE CHATEAU;241966;Frais;Portion de 30 g. Barquette de 24 portions. ;barquette;  9,95 EUR; 13,81 EUR / kg;  0,41 EUR / Portion;7 jour(s)
Crèmerie Œufs Fromages;Tomme noire des Pyrénées igp. 28% m.g.;LA VIE DE CHATEAU;241995;Frais;Portion de 30 g. Barquette de 24 portions. ;barquette; 10,31 EUR; 14,31 EUR / kg;  0,43 EUR / Portion;7 jour(s)
